단어,개수
확보했다셀트리온은,1
분야가,4
고부가,1
가치,19
가능하면서,1
판단하고,7
를,4
신성장동력,12
하나로,10
선정하고,1
투자와,4
혈액암,16
트룩시마와,1
유방암위암,1
허쥬마,3
전이성,11
직결장암,11
베그젤마,4
활용한,5
항암치료제,1
개발이,15
있다발로,3
뛰는,30
더팩트는,22
시간,23
기다립니다카카오톡,22
더팩트제보,22
검색이메일,22
뉴스,22
홈페이지,22
,22
석학,1
부닉마튜랭,1
인터뷰서,1
시작,2
추진파리프랑스이데일리,1
송영두,11
들썩이게,1
돌입한다,3
염증성,1
장질환,1
석학들과,1
처방없이,1
바로,9
투여,21
가능,2
여부를,5
확인하는,4
스터디에,2
나서는,9
것,3
로,1
명명된,1
스터디에서,1
만족스러운,2
확보하면,15
유럽서,1
변경에,1
전망된다일현지시간,1
이데일리와,6
만난,11
부닉,4
,4
램시마,1
억제제를,1
혁명이라고,1
강조하며,1
셀트리온헬스케어와,3
공동연구를,3
시작했다고,2
하트만,4
사무실에서,1
일현지시간,7
만나,18
인터뷰를,3
있다사진송영두,3
기자요람,1
교수로,1
전체에서,2
평가받는다,1
팔레,3
종합병원,5
,5
에서,3
,4
염증성,1
장질환,4
학회,1
학회장을,1
맡았다,1
단체인,1
센터를,2
센터는,2
저명한,3
전문의들이,1
주도적으로,12
참여하고,4
증가하는,3
를,1
정복하기,1
프로젝트를,4
중이다요람,1
,2
연구와,1
파리,1
센터와,1
스터디를,2
시작했다,9
치료가,3
모색하는,7
스터디라고,1
당연히,1
염두에,3
나오면,3
처방을,6
거치지,1
램시마를,40
인덕션,1
가능성까지,2
시작했다고,1
말했다현재,1
처방은,3
정맥주사제인,1
램시마를,2
환자만,1
이력이,1
불가능한,4
스터디,1
나온다면,1
규제기관,1
변경을,1
처방이,15
분석이다요람,1
셀트리온헬스케어는,3
론칭으로,2
혁명을,1
일으켰고,1
덩치가,1
작지만,1
명성을,3
얻었다며,1
연구,1
좋다면,1
에서,1
투여할,2
이는,1
시장적인,1
측면에서,17
엄청나게,1
임팩트가,1
추세가,1
병원이,2
외래,3
변화하고,1
대세에,1
번째로,10
테이프를,2
끊을,1
전망은,5
좋을,9
판단한다고,5
퓨머리,4
,4
앙브로아즈,1
,1
회의실에서,5
있다사진송영두실제로,1
대부분은,4
제형보다,3
의약품,1
선택은,1
선호도도,1
중요하지만,1
의사와,1
의사가,4
제안하면,1
따라오는,1
방식으로,15
있다면서도,1
환자마다,1
프로파일이,1
다르기,2
석학인,1
안토니,1
뷔숑,1
교수의,1
선호도는,1
경구용,1
나타났다고,1
말했다,1
환자들에서,1
이유는,11
나이와,1
이상이,6
세,1
미만으로,1
대부분이다,1
주,5
간격으로,4
병원을,11
방문해,8
몇시간씩,1
주삿바늘을,2
꼽고,2
있어야,6
고려하면,8
활동적인,1
층의,1
외면은,1
어쩌면,1
당연하다는,1
교수의,1
주장이다,3
그는,90
세,1
당뇨,1
환자를,47
병원으로,12
부르는,2
쉽지만,1
환자들을,37
호출하는,1
쉽지,4
않다며,3
활동성,1
방문하고,1
장시간,3
받는걸,1
원치,1
않는다,4
선호하지,1
이유라고,1
귀띔했다특히,1
니즈가,2
강하다고,1
언급했다,10
의사로서,1
선택할,1
고려하고,1
환급,2
확인한다,2
전환했을,1
잘,36
유지되는,1
확인했다며,6
램시마는,10
처방하기,1
충족했다,5
몇십년,2
전부터,16
니즈를,3
성공적으로,22
만족시켰다,1
환급이,1
결정됐을,1
환자들은,4
의사들에게,2
촉구하기도,1
했다고,4
부연했다셀트리온헬스케어에,1
극적인,1
발전을,8
했다고,13
치켜세웠다,1
의사들의,1
론칭,5
전에는,2
셀트리온헬스케어에,26
낮았다,1
성장했다,3
론칭이,1
결정적이라며,1
적절한,1
스터디와,1
지원을,13
제품으로,34
스위치가,1
이어졌고,1
학회와,1
,1
학술단체에서도,1
파트너로,2
활동하면서,1
교수마튜랭,1
아미앵,6
교수램시마,1
,1
,6
,1
개선환자가,1
희망바이오시밀러,1
부각전체,1
전망도,10
우호적,1
석학으로,2
강점을,29
설명하고,6
있다프랑스는,2
국가로,2
기준과,1
공신력을,1
독일과,3
유럽은,1
기준으로,17
자리하고,1
있기,19
이런,45
자리매김한,3
주력,28
제품인,43
램시마성분명,2
인플릭시맙는,4
혁신을,18
주도하고,2
피하주사,121
매번,3
찾아야,1
했던,6
삶을,2
개선시킨,1
결과다,14
램시마와,8
에,5
지난해에는,12
종의,3
제품군,22
모두에,1
직접판매직판,15
이같은,8
활약은,2
널리,1
알려진,23
사실이다,2
개념을,1
최초로,34
알린,2
매년,51
선도기업으로서의,1
강화해왔다,2
그렇다면,3
국가대표,1
의료진은,2
평가하고,2
있을까,1
머니투데이는,1
일현지시간부터,1
이틀간,1
파리에서,5
에서,1
세계적,1
교수를,6
입지와,1
들어봤다,1
메인,5
참가해,32
제약사들과,2
의료진으로서,1
기준이,2
있다면요람,1
작은,3
제약사인데,1
덩치에,2
얻었다,3
바이오베터기존,1
바이오의약품의,15
개선이나,1
횟수,1
축소,2
효과,10
개선,20
거둔,1
품목인,1
컸다,3
방문해야,1
부담이,5
자체가,5
싼,1
편이다,3
기준은,4
단순히,5
아니다,7
안정성,2
여부,1
수용성이,1
중요하다,11
환자라면,1
병의,1
유무와,1
건강상태,1
처방이력,1
중요하게,1
고려된다,1
제제와,1
차별점을,4
진출,12
초기와,2
현재를,1
비교했을,5
인지도와,1
지위,1
느끼는지,1
이전부터,2
판매해,1
왔지만,1
의료진들에겐,1
에,1
가까웠다,1
출시년,1
몇년,1
제약사로,3
정맥주사만,1
존재했던,1
인플릭시맙의,1
제형은,1
환자들로부,1
끊이지,3
않았던,2
영역이다,1
충족시켰다는,1
고무적이다,1
알지,2
못하는,2
제형이,1
있고,24
높다,13
효능을,12
입증하기,1
적극적인,28
참석과,1
담당자들의,1
적극적,4
활동,2
인지도,1
상승에,4
생각한다,3
바이오시밀러와의,1
경쟁에서,3
강점은요람,1
정맥주사,40
램시마에서,1
넘어오는,1
브랜드에서,1
현장에서,13
확인해왔다,1
사회적,3
경향이,3
제제,7
가운데선,1
발을,2
내딛었기,1
인플릭시맙을,2
시장에서의,5
전망,5
평가된다,2
의약품과,57
플러스,2
가져온다는,1
점이다,5
높였다,11
아달리무맙제품명,1
유플라이마,1
고농도,1
매주,2
투약해야,1
주에,1
한번만,1
만족도와,1
얻고,1
처방받은,3
반응은,2
어떤가요람,1
하면,3
의료진과의,1
접촉과,1
상담,1
등에서,14
안정감에,1
환자들도,2
분명히,5
찾을,3
필요가,5
없어진,1
활동은,1
자신이,6
환자라는,1
사실을,3
잊고,3
살수,1
단계가,4
반응을,14
보이는,9
변화됐다고,1
답변했다,2
보험적용,1
따른환급이,1
결정된,5
날부터,1
적극적으로,39
요구했다,2
처방권이,1
환자에게,30
선택지를,1
제시하거나,1
특정,20
품목을,4
권유하는,1
구조,3
의료인으로,1
경험이었다,1
아미앙,1
대학병원을,1
릴,1
대학병원,2
클레르몽,1
페랑,1
에서,1
가,2
로의,1
받아들인,2
점,8
수요를,2
부분이다,4
발주,1
업무용차,3
대,2
대,2
친환경차삼성바이오로직스,1
년,15
대,1
전기차로,2
교체밀려드는,1
위탁생산,3
생산설비,1
확대로,9
온실가스,9
배출,1
부담,3
공장,13
삼성바이오로직스,1
위탁개발생산,1
양대,2
산맥인,1
삼성바이오로직스와,4
해마다,3
늘어나는,4
배출량을,1
줄이기,5
친환경차,5
도입을,1
임직원이,1
이용하는,1
교통수단,1
차량을,1
친환경차로,3
출퇴근,1
배출하는,2
온실가스를,1
감축하겠다는,1
취지다,2
시행,4
환경친화적,1
구매,3
목표제에,1
부응하겠다는,1
계산도,1
깔렸다일,1
셀트리온에,55
발주한,1
대를,1
계약했다,1
대는,1
하이브리드차,1
대는,1
전기차다셀트리온은,1
지속해서,16
휘발유,1
경유를,1
연료로,1
내연기관차를,2
대체한다는,1
별개로,3
완공을,2
연구센터,3
주차장,1
충전기도,1
늘린다,2
법적,31
의무인,1
대보다,1
대를,1
설치해,5
임직원의,1
사용을,4
유도한다는,1
계획이다삼성바이오로직스도,1
차량의,1
꾀하고,3
올해부터,20
승용차를,1
비롯,2
버스,1
업무용,1
차량,1
대를,1
년에,1
걸쳐,7
교체한다는,1
월부터는,4
송도,47
순환용,1
전기버스를,1
임직원,1
출퇴근을,1
지원할,9
인천,119
셀트리온,4
,4
수요,8
증가에,9
대응하며,1
덩달아,2
온실가스에,1
골머리를,1
대응을,1
늘린,1
생산설비에서,1
온실가스가,1
늘어나면서다,1
업무용차의,1
전환은,1
배출을,1
조금이라도,1
일종의,4
고육책이다국내,1
전체,3
배출에서,1
비중은,9
미미하지만,1
교체는,2
단기간,1
감축,1
기대할,7
방안,6
하나라고,1
설명했다삼성바이오로직스의,1
배출량은,1
만으로,1
전년만보다,1
,1
증가,13
폭과,1
배,1
가까이,9
규모인,3
만를,1
공장을,7
가동하고,1
배출량이,1
만으로,1
전년만보다,1
,1
증가했다정부가,1
환경친화적,2
목표제도,1
가속화하는,1
요인,1
자산,3
조원,13
공시대상기업집단,6
계열사에,11
속하는,2
업무용차를,1
구매할,1
친환경차,1
,1
전기차수소차,1
,1
맞추도록,2
골자다삼성바이오로직스와,1
목표제,1
명단에,3
파악된다,1
서울의,1
주차장에,1
충전,2
차량들,1
연합뉴스,1
혼외자,3
논란,2
잇단,3
리스크셀트리온,1
안정,10
자사주,86
매입사,1
합병,89
시기는,3
조율,2
중,1
셀트리온그룹,208
은퇴,6
임기,8
년의,2
한시적,18
복귀를,58
선언했다,6
서정진,4
소방수,7
자처하며,2
위기,34
셀트리온을,23
돕기,2
지,39
개월이,1
지났다서,1
공략에,14
복장,34
규제,5
논란,3
불거진,7
리스크와,1
불안정한,1
주가로,1
주주들의,34
걱정이,2
있다,1
홍보로,1
기업,1
제고,1
집중일,1
있다셀트리온은,51
램시마,1
트룩시마,2
램시마,4
판매하고,7
있는데,9
연말까지,14
의,20
월엔,12
의,22
의,18
품목허가까지,10
계획이다후속,1
임상도,17
파이프라인인,29
의,36
를,22
규제기관에,20
제출했다,19
,13
,13
상이,12
순조롭게,21
진행되고,30
최대한,21
신청이,32
완료된,14
제품까지,25
더하면,25
가능해져,5
빠르면,9
년,47
출시제품,10
포함,10
개의,16
된다개의,6
조,4
신규시장,10
진입이,20
가능해지며,6
시장까지,16
개,31
포트폴리오,33
전체에,18
달하게,1
된다,46
친모인,23
조,26
모,6
씨가,27
소유한,11
회사인,8
서린홀딩스와,25
서원디앤디가,11
계열사로,42
편입됐다,2
강남구,10
역삼동의,2
빌라텔오피스텔형,6
빌라,2
문수연,6
기자,1
복귀하자마자,4
리스크혼외자,1
논란에,10
소송까지서,1
홍보를,2
강화하며,2
가치를,4
끌어올리는,2
있지만,5
리스크가,3
불거지면서,3
비판이,4
일고,5
있다지난,2
월에는,4
직원,8
복장을,17
지적한,4
전사,3
차원의,2
규정,8
지침이,3
내려지면서,2
시대착오라는,2
잇따랐다지난달에는,1
명이,28
호적에,45
친모가,11
대표로,23
곳서린홀딩스서원디앤디이,1
추가된,10
상속,22
문제로,7
리스크로,5
이어질,25
흔들렸다두,1
회사는,61
악화로,2
휴업,3
상태이며,1
직원도,1
명,1
명인,1
확인됐다,14
지분도,3
엮여,2
있지,11
않으며,2
곳에,3
차원에서,20
관리할,3
계획도,11
전혀,5
없다는,1
입장이다오너,1
리스크는,1
장기화될,1
혼외자는,4
상대로,26
면접교섭,13
청구소송을,3
걸어,16
중이며,4
친모를,3
공갈과,27
명예훼손,31
혐의,18
고소했다,4
안정과,7
주주가치,41
이사회를,40
매입을,50
,2
주가,1
회복사,1
합병,1
과제,5
해결,4
하나서,1
과제로,1
회복과,6
사셀트리온셀트리온헬스케어셀트리온제약의,2
합병이,17
떠올랐다셀트리온은,1
이번에,30
매입할,13
자사주는,12
만주러,1
취득,14
예정,15
억,4
원이다,1
취득은,12
일까지,10
장내매수를,9
진행될,40
월과,11
월에,11
결정했으며,4
자사주를,30
매입하면,7
올해에만,15
만주약,7
억,2
취득하게,10
지난해에도,9
만주억,1
완료했다다만,1
주주들,15
사이에서는,4
매입이,2
소각으로,1
이어지지,2
풀릴,2
장기적으로,5
부양,1
나타나지,2
지적이,6
나오고,19
있다이와,7
소각하지,1
인수합병에,1
활용하겠다는,1
방침을,1
밝혔지만,2
검토,15
중이던,2
의료장비,1
박스터,24
인터내셔널의,3
바이오파마,6
솔루션,12
사업부,67
인수를,31
포기하면서,1
,57
향방에,1
있다셀트리온그룹,6
사,123
합병에,31
관심도,3
지주사를,2
설립하고,4
합병을,35
추진했지만,1
분식회계,13
소액주주와,2
갈등,1
그간,6
진척이,1
없었다서,1
금융,5
안정될지,5
모르니,5
지켜봐야,7
주주들이,22
원하기,4
변함이,6
없다면서,6
오는,10
행정적인,1
마무리된다고,1
밝혔다다만,1
금융시장과,2
그룹사의,7
시기를,10
조율하고,7
일정을,2
공개하지,2
이브이첨단소재,1
위서울경제,2
일,15
포인트,1
으로,1
마쳤다코스닥지수,1
포인트,1
로,1
출발해,1
상승세로,5
돌아서면서,3
오름폭을,1
키웠다투자자별로는,1
억,1
원,15
억,1
원어치를,4
억,1
순매도했다기관은,1
셀트리온헬스케어억원를,1
에코프로비엠억원,1
리노공업억원,1
에코프로억원,1
루트로닉억원,1
엘앤에프억원,1
두산테스나억원,1
씨에스베어링억원,1
하나마이크론억원,1
케어젠억원,1
브이티지엠피억원,1
상위종목은,2
기가비스억원와,1
뷰노억원,1
억원,1
넥스트칩억원,1
루닛억원,1
메지온억원,1
와이지엔터테인먼트억원,1
에스엠억원,1
모니터랩억원,1
디알텍억원,1
마크로젠억원,1
네오위즈억원,1
제이시스메디칼억원,1
대주전자재료억원,1
등이다외국인은,2
카나리아바이오억원,1
이브이첨단소재억원,1
두산테스나억원와,1
동진쎄미켐억원,1
에코프로억원,1
씨에스베어링억원,1
아진산업억원,1
뷰노억원,1
넥슨게임즈억원,1
억원,1
레이크머티리얼즈억원,1
이오플로우억원,1
포스코억원,1
루닛억원,1
매수한,2
엘앤에프억원,1
에코프로비엠억원,1
억원,1
루트로닉억원,1
동운아나텍억원,1
씨아이에스억원,1
심텍억원,1
미래나노텍억원,1
이엠텍억원,1
솔브레인억원,1
팔았다,2
좌우박이,2
쏟아진,2
우우박,2
다,24
마른,2
,10
출처,1
,2
유튜브설해원,1
더,1
코스가,1
일,10
폭우와,2
우박이,2
배수와,2
설비시설로,2
재개되면서,1
골프대회를,1
종료했다이번,1
박민지선수의,1
우승,3
목전에서,2
발생했으며,1
진행,2
원했으나,2
좋아지고,2
마르며,2
재개했다이에,1
많은,2
졌다라며,1
설명을,5
덧붙였다결과는,2
이변,2
위였던,2
골프대회,1
차지했다필드,2
설해원,1
그린은,2
목표를,18
삼으며,2
진행한다라며,1
대회,1
있었다라며,1
코스,2
관리에,2
일본,25
강자,2
셀트리온화학,2
타격동아제일,1
원가,6
절감,3
예상이데일리,1
김승권,2
엔화,2
수준까지,2
떨어지며,1
성과에도,1
희비가,1
타격이,2
불가피하고,1
수입,4
비중,24
일본에서,8
선전하고,2
화학,4
등이고,1
동아제약,1
제일약품,1
보령,5
원료나,1
다수,3
금융업계에,1
일,17
원엔,2
재정환율은,1
엔당,2
원을,1
기록해,6
원대에,1
원,1
대,2
초반으로,2
복귀했지만,2
약세는,1
현재진행형이다,1
원대,1
밑으로,1
내려간,2
만이다,13
타격이에,1
바이오시밀러바이오,4
복제약를,2
판매하거나,1
원료의약품,4
중간체,1
수출하고,1
한숨이,1
깊어지고,1
대표적인,13
화학과,1
셀트리온이다,3
생명과학사업본부는,1
엔브렐,2
유셉트는,1
퍼스트시밀러로,1
년,2
억원이니,1
대략,2
판가,1
정도는,1
올린,18
추정된다,5
바이오시밀러도,8
오송공장에서,1
완제품을,3
생산해,4
모치다제약에,1
공급하고,12
선전하는,1
유셉트,1
사진화학셀트리온도,1
램시마오리지날,1
레미케이드와,1
허쥬마허셉틴가,1
허쥬마는,3
시장에서도,6
유방암,12
주요법,1
이후로,2
매,1
분기부터,1
의약품의,18
상회했고,1
,1
휴미라,2
젤렌카주는,1
높지는,1
모찌다제약과,1
협력에,2
나서고,35
상황이라고,1
동아제일,1
예상반면,1
라이센스,2
의해,11
완제품이나,1
원료의약품을,2
수입하고,2
제약사들은,4
엔저,1
누릴,1
일본은,1
우리나라에서,2
중국,7
인도에,1
수입하는,2
나라다,1
의존도는,1
로,1
인도와,1
없다,14
수입국,1
순위자료식품의약품안전처먼저,1
동아에스티는,2
원료를,2
다,1
보면,23
오팔몬허혈성개선제,1
주블리아무좀,1
수입해서,1
오팔몬은,1
억원을,1
억원을,1
기록하며,43
타고,1
주블리아도,1
억원을,1
거뒀고,1
억원의,1
동아제약은,1
스킨가드,1
아이봉,1
비겐,1
수입한다,1
엔화가,1
저렴해지면,1
이익을,2
제품들이다,1
제일약품은,2
란스톤란소프라졸와,1
덱실란트덱스란소프라졸의,1
영업마케팅을,1
오랫동안,2
맡아왔다,1
제일약품,1
란스톤,1
덱실란트,1
매출은,82
억원,1
이상이다,1
메이엑트,1
항생제작년,1
억원를,1
일동제약은,1
억원,1
일본산,1
원료와,1
들여온다보령,1
당장,1
가시적인,1
효과로,7
이어지려면,1
좀,26
시간이,9
지나야,1
하겠지만,1
현상이,5
지속되면,1
절감은,1
일회용,7
백세포배지,1
저장,3
샘플,3
채취,1
필요한,49
싱글,1
유즈,1
백,1
마이크로디지탈,1
제공서울뉴스,1
김태환,12
마이크로디지탈이,1
더백,1
공급을,10
시작한다고,2
밝혔다더백은,1
일회용,1
백,1
,2
이다,1
배지,3
채취,2
믹싱,2
광범위한,2
범위에서,9
있다이번,2
공급은,2
소재,1
부품,1
장비의,1
국산화를,5
정부와,9
산업계,1
내의,2
노력의,1
백의,2
그동안,42
외국,1
의존해,1
왔다셀트리온은,1
국산화에,4
왔다,8
마이크로디지탈과,1
협력을,12
약속하며,1
공급사,1
등록을,3
마이크로디지탈,1
양사는,2
시작으로,31
종류의,3
백을,5
협력할,5
예정이라고,13
밝혔다셀트리온,3
앞으로도,4
지속적인,9
상생,2
계획이라고,12
,1
서,1
우박,1
필드에,1
시간만에,1
재개,1
설명,1
사진,2
제공,24
유튜브서울경제,1
,1
종료,4
되었다,1
코스가,1
선수의,1
전개된,1
재개되었다이에,1
졌다라며,1
골프대회,1
진행한다라며,1
있었다라며,1
강조했다한편,1
회,1
대,21
골프장에,1
곳이며,2
곳이다,4
개국,11
장질환,1
,1
,1
이하,6
,1
학회인,1
이해관계자,1
,1
,1
들을,1
펼쳤다고,2
밝혔다이번,20
일현지,5
시간부터,4
이틀,3
동안,42
진행됐으며,1
트렌드,4
정보,3
공유하면서,3
환경을,8
발전시키기,3
개최됐다행사에는,1
여명이,7
참석했으며,2
손꼽히는,3
협회장이자,3
낭시대,3
병원,2
,4
,4
페이린비룰레,5
,5
병원의,3
참여했다셀트리온헬스케어,1
둘째,23
날인,8
,1
제하의,2
램시마성분명,4
인플릭시맙,3
피하주사제형,3
유플라이마성분명,9
데이터와,3
심포지엄에서는,7
데이터,2
가,2
발표됐는데,3
로,3
관해,3
를,3
공개됐다이외에도,1
행사에서는,3
선택,11
평가,35
지표의,2
현재와,4
미래,40
석학들이,3
진행했고,2
참석자들이,2
상호,3
의견을,14
교류하면서,2
트렌드에,3
발전해,2
나가는,6
담론의,3
장이,3
마련됐다,3
현장에서는,3
관계자들을,3
별도의,6
홍보,12
부스를,30
운영하며,4
설명과,3
소개했다셀트리온헬스케어는,1
앞으로도,14
참여를,8
나가면서,2
더욱,90
활동으로,3
를,2
뚜렷한,3
후발주자로,4
있다김동식,1
법인장은,26
편의성을,54
개선한,21
의료진들의,6
신뢰가,3
한층,30
높아질,3
기대한다며,1
프랑스뿐만,1
개국에,3
법인에서,6
참가를,3
여명,1
참석램시마,1
결과발표에,1
관심,9
에서,1
심포지엄,1
대학병원,2
있다사진셀트리온헬스케어이데일리,1
에,1
에서,1
진행됐다,3
개최됐다,3
행사에는,2
받았다셀트리온헬스케어,1
,1
,1
소개하며,2
대표기업으로서,2
공개되면서,2
현장의,4
받았다이외에도,1
환자들의,1
,1
소개해,2
참석자들의,3
집중시켰다심포지엄에서,1
질병을,2
관리함에,2
최우선,2
목표였던,2
이전과,3
오늘날에는,2
역할이,6
변하고,2
편의성,9
개선할,2
있다면서,3
이번에,2
제제를,3
나타난,2
만큼,23
장소에,2
자가,17
투여가,4
가능하다는,9
옵션으로,14
자리매김할,4
강조했다셀트리온헬스케어는,2
활동의,3
동사는,1
강조했다김동식,2
이번,20
기대한다면서,2
프랑스뿐만,2
국가별,11
의료진들을,2
회사의,47
커머셜,19
성과는,15
전파해,2
기여를,4
해낼,2
최선을,181
다할,52
소개,2
진행된,22
현장,1
제공셀트리온의,2
해외판매,1
계열사,46
개국영국,1
독일,12
프랑스,4
이탈리아,3
스페인,13
등,2
장질환,1
학회인,7
익스체인지,1
콩그레스에,1
이해관계자들을,1
펼치기,1
위함이다,1
이틀동안,1
진행됐으며,1
참석했으며,1
제하의,1
골리무맙에서,1
지표의,1
진행했고,1
집중시켰다,1
를,9
김독식,1
계획이며,2
마이크로디지탈은,2
백,8
백의,1
마이크로디지탈의,1
세포배양,1
이송,1
저장용,1
사진제공마이크로디지탈더,1
백은,2
백,1
으로서,1
의존해왔지만,1
팬데믹세계적,5
대유행으로,2
촉발된,1
공급,35
부족,2
사태를,1
겪으며,1
국산화의,1
대두돼왔다,1
정부,2
대기업,1
바이오백신,1
연대협력,1
협의체를,1
구성해,4
노력이,1
이어져,6
정부,5
정책에,1
발맞춰,1
보유,31
기반해,1
여건,1
오픈,36
이노베이션,1
추진해,6
온,14
공급도,1
이노베이션의,1
일환으로,3
앞으로도,3
이어가겠다고,2
말했다양사는,1
공급망을,1
다변화하여,1
계기가,10
기대다,3
둘러싼,32
대내외적,1
환경,11
조짐바이오시밀러,1
혁신,14
직판,69
전망램시마,1
경쟁자,3
출현에,1
자신만만,1
대응도,1
시사이,1
기사는,9
년월일,1
시분에,1
팜이데일리,6
프리미엄,6
콘텐츠로,6
선공개,6
되었습니다파리프랑스이데일리,2
플레이어,1
굳히기,1
맞이하고,1
년전,1
직접판매,10
체계를,6
구축한,5
각,58
제품군이,3
호조세를,2
예고하고,1
한편,21
신약과,1
램시마,3
대항마라는,1
개의,7
키워드는,2
대내외,2
일으키고,2
충분한,12
거듭난,1
변화가,38
발판이,1
내다보고,3
집중되고,1
법인이,14
입주해,5
이시레몰리노에,1
아미랄사진송영두,1
기자일,1
김동식,10
법인장과,2
살림,6
벤칼리파,1
,1
메디컬,13
디렉터는,12
사업과,9
등장에,1
걱정을,1
하지,28
않는다고,2
강조했다김,1
벤칼리파,12
셀트리온헬스케어를,1
실질적으로,1
인재다,1
프랑스에,3
영국,14
법인장까지,1
겸임하게,1
의중이,4
작용한,8
,1
애브비에서,1
영역에,1
담당한,1
년전년,1
구축에,8
나선,17
그룹이,8
동력으로,3
신약개발에,4
나서면서,3
자천타천,1
확대가,18
예고되고,1
업계에서는,9
셀트리온그룹이,23
전격적으로,1
뛰어들,8
여지가,5
있다먼저,1
가능성에,4
부정하지,1
않으면서,1
셀트리온헬스케어,3
법인을,13
운영해,1
보면서,1
느낀,1
사업은,14
결국,11
시스템이라며,1
회사가,2
쌓아온,6
노하우를,17
솔루션을,7
못하지,1
부분에서,4
우리는,2
활용하고,1
녹아들어,1
있을지에,2
고민하고,1
앞으로,24
오든,1
론칭할,2
준비가,2
상태라고,2
맨,1
오른쪽살림,1
디렉터사진송영두,1
기자살림,1
조직의,1
특징은,1
상황에서도,2
신속히,12
대응하는,3
것과,6
적응성이다,1
년간,12
냈다며,2
오는,1
장질환,1
학회는,1
릴리,1
애브비,1
얀센,1
제약사만,1
초청받았는데,1
초청받아,1
대접을,1
받고,23
강점은,4
가,1
자신감을,3
피력했다셀트리온헬스케어,1
자가주사제형,2
변수를,1
마주하게,1
분야에서는,6
레미케이드나,1
제품군램시마,1
램시마이,1
가,2
신생,3
수용체를,1
식품의약국,31
아젠엑스의,1
비브가르트,1
하이트룰로가,1
주인공으로,1
할로자임의,1
변환이,1
히알루로니다아제,1
기술이,8
적용됐다현재,1
성장한,7
분야에,8
출현은,1
입지에도,1
것이란,35
분석이다,10
일단,1
기전,1
약물들이,2
등장하는,1
자체로,1
환영한다,1
입장에서는,4
늘어나기,1
때문이라며,2
다만,4
주력으로,2
만큼,1
보여주는,1
약물은,2
측면과,1
효능,11
면에서,1
포괄할,1
법인장사진송영두,2
기자특히,1
모든,4
경쟁하기,1
마련이다,1
우리도,3
당연히,3
대응해야,1
경쟁자의,1
리스크라기보다는,1
커진다는,1
부분으로,1
판단한다며,2
경쟁,1
등장과,1
경구용,18
개발하거나,1
익수다와,1
효율적이고,2
안정성을,1
갖도록,2
개량하는,1
방식도,2
설명했다또한,1
고성장에,1
처방률이,2
감소하더라도,1
포기하는,1
일은,5
것임을,1
시사했다,1
램시마는,2
년간,1
의,11
까지,2
끌어올렸다,1
증가율이,1
역전을,1
무의미한,1
수도,14
나온다살림,1
램시마가,7
확대됐다,1
확대됐다는,1
비즈니스적으로,1
현상이라며,1
램시마와,1
의,3
가속화돼도,1
수요는,1
없어지지,1
장점도,2
크지만,2
명확하다,1
맞아야만,1
궁극적으로,2
,4
정도의,5
남아있을,1
램시마,2
긍정적,13
영향셀트리온헬스케어와,1
연구,2
질환,1
산다,1
반응도,1
염증성장질환,2
권위자인,1
센터,3
램시마성분,2
전망했다일현지시간,1
이같이,9
밝히며,5
인플릭시맙으로,1
치료받는,1
,1
치료가,1
중심에서,1
흘러가는,1
보이는데,2
대세의,1
끊었다,1
좋다고,1
말했다램시마를,1
인플릭시맙이,1
표적으로,2
과도하게,2
발생하면,5
만성,72
염증성질환을,1
일으킨다,1
는,1
정상적인,4
신체에서,1
세포와,2
염증을,17
조절해,1
반응에,1
인플릭시맙은,2
수용체에,1
결합해,4
활성화되는,1
방해하도록,1
유전자재조합,1
이용해,14
단일클론,1
항체이다그에,1
정맥주사,2
램시마뿐,2
브랜드로,3
치료받던,1
피하주사,1
중에서,5
는,3
병원에,8
입원해서,1
투약하는,3
방식이다,3
전환하면,1
나오지,7
집에서,3
비교적,6
편리한,2
선호한다는,1
것이다부닉,1
램시마를,1
사례는,1
너무,4
많아서,1
들기,1
정도다,3
혁신적이다며,1
환자가,1
갖고있던,1
질환을,8
살,3
단계에,5
왔다는,2
있었다고,4
드물지만,1
전환했다가,1
돌아간,2
안정을,1
느끼는,3
,1
시작하기,1
맞으면,2
언제든지,1
돌아가도,1
된다고,2
얘기한다,1
셀트리온헬스케어가,1
제약사임에도,1
바이오베터라며,1
기존,7
인플릭시맙과,1
동일한,10
갖고,45
있으면서,2
싸,1
부담하는,1
줄었고,1
단일요법,1
가능성,4
모색이,1
면역억제제와,1
병용해야,1
정설이다,1
약점을,1
줄여나가는,1
바이오베터는,1
바이오시밀러생물학적제제,3
복제약지만,1
약물보다,1
효능이나,1
안전성,64
개량신약을,1
말한다,5
독자적인,9
부분에,3
대해선,8
특허로,1
보호도,1
있다부닉,1
권위자,1
명이다,1
질환,1
최근에는,5
파리,1
센터를,1
만들어,23
질환,66
만들었다,3
병원에서는,1
치료와,2
교육,1
소개하는,5
소규모,2
전문가와,1
명만,1
기업으로는,3
초대받아,1
스폰서로,1
참여했다부닉,1
보며,1
항,4
제제가,2
자리잡을,2
전망했다,24
질환은,2
세계적으로,8
발생하고,1
약제들이,1
배나,1
비싼,1
보다,1
압도적인,3
보여주지는,1
따라서,1
이,1
약물들이,1
치료제로는,1
쓰이지,1
같다,2
당분간은,1
억제제가,1
치료의,1
레퍼런스,1
약물표준요법로,1
기억에,1
남는다고,1
